source,target
HMG20A,SLC30A8
p08563-pro_0000041304,SLC30A8
p08563-pro_0000041304,SLC30A8
ESR1,ZBED6
ESR1,ZBED6
Cep135,ZBED6
Cep135,ZBED6
Snw1,ZBED6
Snw1,ZBED6
SMC6,ZBED6
SMC6,ZBED6
Tsc1,ZBED6
Tsc1,ZBED6
USP13,MAP1LC3B
USP13,MAP1LC3A
USP13,TARDBP
USP13,ATXN3
USP13,TARDBP
USP13,ATXN3
USP13,TARDBP
USP13,ATXN3
USP13,CACYBP
USP13,DLST
USP13,DIABLO
USP13,CYLD
USP13,UBL4A
USP13,UFD1
USP13,NPLOC4
USP13,NEDD8
USP13,ITCH
USP13,SMC3
USP13,FAF2
USP13,KCTD10
USP13,BAG6
USP13,TCAF1
USP13,OGDH
USP13,KCTD3
USP13,SMC1A
USP13,DAZAP2
USP13,DAZAP2
USP13,DAZAP2
USP13,TRIM55
USP13,TRIM63
USP13,TRIM55
USP13,TRIM63
USP13,PTEN
USP13,CACYBP
USP13,DLST
USP13,DIABLO
USP13,CYLD
USP13,UBL4A
USP13,UFD1
USP13,NPLOC4
USP13,NEDD8
USP13,ITCH
USP13,SMC3
USP13,FAF2
USP13,KCTD10
USP13,BAG6
USP13,TCAF1
USP13,OGDH
USP13,KCTD3
USP13,SMC1A
USP13,DAZAP2
USP13,TRIM55
USP13,TRIM63
USP13,PTEN
USP13,MAP1LC3B
USP13,MAP1LC3A
USP13,TARDBP
USP13,ATXN3
SPRR2D,USP13
SPRR2D,USP13
L1RE1,USP13
L1RE1,USP13
FUNDC2,USP13
FUNDC2,USP13
DVL1,USP13
DVL1,USP13
MYO15A,USP13
MYO15A,USP13
FNBP1L,USP13
FNBP1L,USP13
MRPL20,USP13
MRPL20,USP13
LAPTM5,USP13
LAPTM5,USP13
FAM189A2,USP13
FAM189A2,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
rep,USP13
USP5,USP13
USP5,USP13
SMC3,USP13
SMC1A,USP13
ATXN3,USP13
ATXN3,USP13
DAZAP2,KRTAP19-3
DAZAP2,KRTAP19-3
DAZAP2,KRTAP19-3
DAZAP2,KRTAP19-3
DAZAP2,KRTAP19-3
DAZAP2,KRTAP19-3
RAD21,USP13
RAD21,USP13
SCCPDH,USP13
SCCPDH,USP13
RPP25,USP13
RPP25,USP13
ubiq_human,USP13
ubiq_human,USP13
CAMK2D,USP13
CAMK2D,USP13
SYNCRIP,USP13
